这么急啊[惊喜]反正我知道你的评论留不了多久哈哈	要不您这边给我友情赞助两千块？我给您做个绝育[好奇]，再做个碎蛋der手术	1	0	1
你不是不结婚吗，这事儿跟你有啥关系啊	我是不知道为什么现在还有人能说出结婚是两个人的事情，而不是两个家庭的事情，这种一看就幼稚的不行的话	0	0	1
来，有本事就来，我寻思我在意大利读研究生你也能逮捕我是吧，笑死我了	限你删了道歉，否则后果自负！	0	0	1
您赶紧回塔塔上学去吧[尴尬][尴尬][尴尬]	哎呀我的妈呀，就你这态度，你结婚没花彩礼娶了老婆，也应当是自己祖上烧了了高香，踩了狗屎运，遇到个傻老婆，你还搁这沾沾自喜啥呢？还莫名有一种优越感了？自信哪里来的啊？平时你敢秀出这种优越感？也就网络哈牛逼罢了。	0	0	1
你那地方也是有点差劲的门不当户不对我只能说我姐结婚我爸妈没拿彩礼一分钱都是我姐我姐夫的婚后无房贷车贷社保都不用自己出钱交生了我外甥之后几乎天天来我家玩偶尔出去旅游有双方父母经济支持真的过得很好所以彩礼不是罪罪的是门不当户不对是双方家庭的压迫	我身边朋友彩礼带回来的就只有一个，其他都是没有的，而且嫁妆回礼就是一句谢谢。不知道你在哪座城市，风气真好。	0	1	1
支持你啊~~就像“活着干嘛，不活着挺好的，没有疾病，没有精神痛苦。一人死亡，地球照转。”	结婚干嘛，不结婚挺好的，没有彩礼，没有经济纠纷。一人吃饱，全家不饿。	0	0	0
我认为要彩礼本质上就是诈骗，所以建议大家多学学防诈骗知识哈[飙泪笑][飙泪笑]。。。，，，	拳师是和我们有时差对吧	0	0	0
我没考虑到贫困家庭，我觉得贫困男生女生还是第一时间脱贫吧不要想着结婚，对谁来说都不公平，经济基础决定上层建筑	分类讨论懂不懂，一个普通家庭出来，毕业出去就有高收入就是孩子回馈家庭了，不要用自己的有限的经验去揣测无边的世界。	1	0	1
她们说的嫁到男方是，男方一家给她当牛做马[捂脸]	就一句话哈，今年已经2021年了，怎么还会有人觉得结婚是女方嫁到了男方家？	0	0	1
我还觉得你爸妈悲哀呢	怪不得你老婆好悲哀	0	0	1
我真是闲的蛋疼，2点多评论，一看就是反串黑，是不是境外势力	先不说钱，就你说话这态度，你老公真是倒了霉了	0	0	1
[思考]	慌了，慌了，小仙女慌了[惊喜]仙女们不是都不结婚的吗，彩礼和你们有啥关系[飙泪笑]	1	0	0
如你所愿国男有罪我愿平躺让位白男从今以后我不娶妻不买房不生子爱我所爱但是不娶因为有罪我的余生只赚钱和忏悔因为有罪生为国男我有罪我为此忏悔余生我愿热爱天文热爱垂钓热爱艺术热爱电竞热爱运动热爱越野热爱汽车我还要学物理学微积分学天文学文学学戏曲学习一切渴求探索充实余生即使孤独也不能直视女人因为有罪没有人为我哭泣除了母亲因为有罪没有人为我倾听除了父亲因为有罪生为国男我很抱歉打扰了小仙女们！	我可以接受不要彩礼，但孩子我十月怀胎要和我姓	1	0	1
老阿姨	加一，好幼稚啊，谈恋爱才是两个人的事情。结婚肯定不是啊，两个人还能结婚了不和各自家里父母亲戚走动双双断绝联系当我没说	0	0	1
你自己反问的人家结婚干嘛啊[惊喜]谁说你只要是评论就是管人家结不结婚了，我哪能管你啊，遇到骗婚的直接报警就完了[惊喜]	评论和回复就是管的话，你管我干嘛？	0	0	1
你一定是一米五吧	“女方家族的葬礼我可以撰写悼词，但保留不出席的权利。我也会让将来的妻子这样要求我”这句话就很好笑了，越看越好笑。	0	1	1
[吃瓜]阁下在我看来和论证春节全国都以吃饺子为习俗较为相似...而且这些理由也顶多是充分条件，我们这些古时“王化”程度低的，没这么多过场。	彩礼，意味着“明媒正娶”。重点在礼，钱反而不是最大问题，比如某地彩礼10万，你和女方说，这10万定亲时不给，等结婚了，直接给15万20万。我敢说多数女方家庭是不可能同意的，因为这就不叫礼了。况且，现在多数彩礼都给了小家庭，而且女方会附上等值嫁妆，所以不知道评论区这些高中生跳个啥。@关评论或骂人的：理智讨论，觉得人家不对摆事实讲道理，duck可不必人身攻击。爱情是最神圣的东西，婚姻市场是最公平的市场；你要真正爱一个姑娘，作为绅士就应对她有尊重；你要是不认同彩礼，完全可以不要彩礼的姑娘，或者去欧美找，太平洋又没加盖。一帮即没对象，又拿不出10万的堂堂男人，唧唧歪歪，太low了...你们这样即玷污了婚姻制度，又玷污了爱情[飙泪笑]	0	0	1
你可以看看其他回复	你这评论适合放在回答和想法里，没什么人在战场上听古筝	0	0	0
结婚就是买卖呗，慕?多少钱一斤？	你这么固步自封谁能说的过你，讲道理也要对方听得进去才行，不然说再多都是浪费口舌。请抓好重点，我没说一定要给，就是你把自己那点钱看的很重，觉得你赚了理应就抵消了你老婆的生孩子付出这点很看不下去。	0	0	1
对！你说没错，这就是我反育的点！	你卷了让自己更好了，但孩子高教育投入很有可能让你生活质量下降几个档次。如果为了让自己过得更好，高教育投入是冲突的。	1	0	0
就是两个人的事，就是两个人的事，气死你气死你，就不给彩礼[捂嘴][捂嘴][开心]	我是不知道为什么现在还有人能说出结婚是两个人的事情，而不是两个家庭的事情，这种一看就幼稚的不行的话	0	0	1
你认可结婚是两个家庭的事就和认可这件事的人结婚吧，来这当什么人生导师啊	我也00后，不过你这想法也太他妈幼稚了吧，别的不说，结婚就是两个家庭的事情…双方父母不同意不支持不给资助那也活的太困难了吧	1	0	1
你说我物化孩子还差不多[尴尬][尴尬]	物化女性把女性当生育机器?	0	0	1
只谈彩礼不谈嫁妆的都是耍流氓，本人女，如果以后要彩礼也会带对应金额的嫁妆。	我是不知道为什么现在还有人能说出结婚是两个人的事情，而不是两个家庭的事情，这种一看就幼稚的不行的话	0	0	0
你知道男性为了生孩子付出了什么吗，是寿命，男性平均寿命比女性少了多少你知道吗，要不然你们少活几十年，就给彩礼好不好[可怜]	我是一个女生，我明确宣布，彩礼都不想给的，一律免谈[白眼]	0	0	1
我发现很多男的真的魔愣了，就挺有意思的，也不看看我也是男的	层主的回答也没说要给彩礼啊只是说结婚是两个家庭的事这话没错啊大多数家庭家里长辈不管男女可都是这么说的吧而且过来人表示这话没错彩礼不彩礼那是另一回事	0	0	1
没人阻止你	你清醒一点，女的要是想要孩子，去个医院精子库来个试管就OK了，还免费呢，为啥一定要你的呢，你的精子最优质还是咋滴。[好奇]	0	0	1
要不要教教你那几个妈呀。	你看你，有在天之灵保佑的人就是说话就是这么自信[捂嘴]	0	1	1
另外我是和@喵喵刺客聊天，关您什么事呢？[尴尬]急什么呢？	你仔细看，号多少年了	0	1	1
伊斯兰教，儒家是人类之光，我们应该保守，进步主义只是对男人的剥削	以前的我觉得伊斯兰教代表着愚昧，落后，现在我的；终究还是当时的我太年轻了，不懂的穆圣的用意啊，先知不愧为先知[可怜][可怜]	0	0	0
幸福哟，希望你男朋友能够好好善待你。。希望正能量例子多点。。。天天看些负心汉和捞女的故事，都快怀疑人生了。。	我爸爸也这样子给我说的，也这样子教育我的。不过，我确实没有要彩礼，我和男朋友一个月5.4万工资，男朋友一年16薪，我14薪，现在计划是过年回我老家扯结婚证。我爸妈和男朋友爸妈都没有见过面，因为这是我和男朋友自己的事情，我们在外地生活，他们也参与不到我们的生活。但是，爸爸前段时间给我说，给我存了中国银行100万大额存单，到时候给我们做婚姻生活启动金。我爸妈一年轻松挣20-40万一年，而且也有养老金，他们也不想由我养老；男朋友爸爸死了十年了，妈妈带着一个11岁的弟弟，我们以后肯定要帮着点生活的，其实这些我都无所谓的，我和男朋友快六年了，我很感谢生活中有他，他是我最好的朋友、伴侣、教导者、支持者，有他让我的生活更加丰富多彩和有意思!我想，这就是我走入婚姻的最终原因!	1	1	0
已经被打拳了，搞不懂有啥好打的，居然男的评论我打拳的更多，说实话我真的没想到会这样	兄弟小心拳击?	0	0	1
咋说呢，从父亲的角度确实是这样，这个钱我也不会要，还是会给小两口自己用	估计真的很小，父母也没有教。我弟03年的，上高二的时候，我们刚好一起讨论这个话题.我爸说你不要找那种高额彩礼地方的女朋友，找也行，自己要赚钱，不然娶不到老婆。我弟说，我才不会给彩礼呢，言论跟答主有些类似。我爸说你怕是书读到狗肚子里了哦，不下聘，不知礼，不管事，还想娶媳妇，哪个姑娘怕不是傻子！话说回来，假如你姐被人这样，你姐夫这样待我们行不？你如果是做父亲的，别人这样待你女行不？说话不要说这么过头，别人还觉得我们当父母的没有教！丢人现眼。	0	0	1
这种现象占主流？您还真是章口就莱啊	我是女生  同样否定彩礼 且一切对男性对女性不公的传统陋习  如果我的父母坚持要彩礼我也会尽自己所能回礼男方 但我始终有些事情想不通 比如女生结婚了就是男方的人？孩子理应跟夫性？孩子生下来女性负责更多的照顾义务？以及男方父母为何要跟夫妻一起住？也许我的阅历还太浅 但我想不通在两方强调平等的情况下 为何这种现象依然占据为主流 很期待听听你们男方的想法	0	0	1
高中狗咒人家老婆，[飙泪笑]	怪不得你老婆好悲哀	1	0	1
真啰嗦啊~谁要是敢拿刀架你脖子上逼你生孩子！你告诉我！我帮你报警！帮你报警！帮你报警！！！帮你报警！！！帮你报警！！！！	结了婚一个人养三个人？？你的意思是你老婆生了孩子以后就不用去上班了？？	0	0	1
能指路一下吗？我想给大神架一个关注。	你偷高林老爷的发言经过同意了吗，喵喵哥	0	0	0
你随便吧，爱咋咋地	你是不是理解有点？我原评论和回你的话里哪句话提到彩礼了？我好像是在问你，经济独立和与原生家庭无法割裂矛盾吗？	0	0	1
？？？我说外国国家不收彩礼是因为他们国家离婚后抚养制度完善，如果中国也能完善就不要彩礼啊！外国人在中国结婚没有法律强制离婚后支付赡养费，那也得出彩礼啊	您不是说外国人不收彩礼理所应当，中国人就必须收彩礼？不是跪舔难道你是歧视中国人？	0	0	1
[惊喜]哟哟哟，不装了？女性适应能力这么高为何要到处叫骂招工性别歧视呢？为何不自己创业开♀司招女工赚大钱呢？为何今年情人节发520红包女发男是男发女的1/3呢？为何您一股♀味却要装个男小号呢？	看来这时代，女性的适应力还是相对更高点。随着女性开始觉醒，婚前买房买车的女性越来越多，导致那些条件不是特别优质的男性的选择面越来越窄，原本只要稍微努把力就可以娶到的这些资质还不错的女性，现在追不上了，那些条件不够好的女性呢又觉得配不上他们高贵的身份，搞的现在前不搭村后不搭店的，好不凄凉！	0	0	1
你老公太惨了[捂脸]	怪不得你老婆好悲哀	1	0	1
支持我也不想结婚结了一堆事容易闹得很难看	结婚干嘛，不结婚挺好的，没有彩礼，没有经济纠纷。一人吃饱，全家不饿。	0	0	0
你看，还不是你这种多	男的评论多[微笑]	0	1	1
她把别人都想象成跟她一样的无法在社会上立足,独立生存,担负起自己的生存责任,甚至连生活都不能自理,需要男方给保障的,给担保的,各位男士们千万别中了这种PUA陷阱坑.男士群体没有责任义务供养畒.	你急了啊！人家不要彩礼，你还要替人家做主？	0	0	0
又来pua是吧，你怎么被禁言了？	我是不知道为什么现在还有人能说出结婚是两个人的事情，而不是两个家庭的事情，这种一看就幼稚的不行的话	0	0	1
您的娘味也很yue呀	没有一句脏话，全文透露出来的幼稚和莫名其妙的装叉的优越感真是看yue了	1	0	1
？[大笑]食智喷子，笑死	那你别要阿，身为新时代独立女性，你靠自己啊，你别结婚啊，求你了。	0	0	1
你去找她们聊聊彩礼[捂嘴]	其实真的去生活中多接触一些人就会发现大部分人还是很有共情能力，可以心平气和地和你讨论的，并没那么多键盘侠	0	0	0
几十年前免费住房，没有商品房，都是单位统一分配，编也先学学中国现代史OK？	几十年前买的起房，说明家庭不差了，毕竟几十年前房价物价和现在都不能比。说实话，至少在我们小区没怎么见识过缺钱的人家，拆迁户有也确实有，不过都是本就家庭殷实的拆迁户。而且现在农村的有钱人不少，不要说什么“底层农民”了[大笑]	0	0	1
